;X;Y;lon;lat
Dackenheim_(AMM);441043.20295150677;5485306.935383969;8.185469817098229;49.51751606660912
Dahlemer_Binz_(Meteo);324489.7580647331;5586500.144637068;6.530117594031432;50.40430143909004
Dannenfels;422091.84560310666;5498395.223081599;7.921094274541274;49.63308139313055
Dannstadt-Schauernheim;450118.1896930168;5476597.5487002125;8.31193523899762;49.43999665291978
Daun_(Meteo);344130.75074937486;5563019.799150092;6.8159778836338925;50.19882145066492
Diekirch_Meteo;295252.6100605476;5527352.421909009;6.150933764102917;49.863544454597516
Dienheim;451317.423577249;5518929.086872273;8.323221396801806;49.82082402762521
Dienstweiler;370450.9135483126;5499502.800912021;7.2058784824732856;49.634168290997465
Dillingen_(Meteo);337397.67848002515;5470510.02541264;6.760388424086758;49.365588136625945
Donrath;374412.74716257036;5634824.360013381;7.215864619864346;50.85146777352444
Dreis-Brück;343336.605786175;5569811.305727353;6.8020540395304625;50.25964762421497
Driedorf-Mademühlen;439664.9660461311;5607657.131803079;8.147137977352934;50.61767258359587
Drolshagen;413281.5227254227;5653044.2936198935;7.763543242974199;51.02240878770726
Echternach;316032.38639729214;5519879.426522576;6.4433077919108;49.80313991810873
Edertal-Hemfurth;503425.0483652416;5668301.621609556;9.04898615313484;51.166139398850724
Eich;455625.47034444695;5510676.089011828;8.384049273426147;49.7469318572379
Einöllen;401849.656792382;5496606.5942063825;7.641293693934667;49.61404666157471
Eitorf;388716.72994789435;5625981.306236174;7.421666058080863;50.774903439772146
Elkhausen;415239.03165766597;5630271.313620274;7.796740223874509;50.817957310914025
Ellern;401965.7416521061;5536000.59572318;7.632964600779061;49.96828986817223
Elmstein-Kläranlage;427857.2334319439;5473483.133907847;8.005477343253832;49.409752533265646
Elspetal;435168.639081365;5667075.94968719;8.073046588841242;51.151455229262915
Enkenbach-Kläranlage;419490.92556150217;5487106.282467895;7.88739375959331;49.53121867778229
Entenpfuhl;398426.4621965854;5528417.753374711;7.585624253438923;49.89951744855526
Erbeskopf_(Meteo);363049.50755585404;5510783.362897082;7.099484032366591;49.733942712948824
Erndtebrück;447447.8626784252;5649140.01608374;8.251203058468707;50.99144165507412
Esch;360585.8062383245;5602549.778147714;7.031739070126161;50.558228978395974
Eschmar-Müllekoven;367431.82801525993;5626865.435537206;7.119622504054695;50.77837566935054
Esterbach;319309.82156559825;5586355.0577794425;6.457367516077607;50.40142817462908
Eußerthal;424326.6546173658;5455972.942388121;7.960137526668508;49.25184386623524
Eßweiler_(Meteo);396579.7797403337;5492244.268926557;7.5695134853120125;49.57394208446836
Fischbach;384078.80885936395;5511506.159211228;7.390968535036611;49.7448608096261
Fouhren;298100.9641738935;5533363.792992805;6.187378819815784;49.91851369990086
Frankelbach;401801.89003143064;5486682.138041161;7.643108988625178;49.524796248145016
Freisener_Höhe_(Meteo);374566.8353237655;5489921.895555068;7.26590902346989;49.548899708021246
Freudenberg;421588.34515474003;5640223.289414637;7.884722756384692;50.90833023606285
Frielingsdorf;389224.0963396822;5656164.393224866;7.419696135605344;51.04632342056107
Gauchsberg;405795.7649299956;5525041.342771379;7.689032265993665;49.87036324317216
Gemünden(Felda);507143.41543713235;5617031.765803394;9.10116214004267;50.70505645880834
Genkeltalsperre;403777.8999009969;5657801.144623628;7.626813558945161;51.06366006052065
Gondershausen;392657.30522324203;5557339.602605722;7.497225141980465;50.15854425087502
Grebenhain;522157.1681522786;5595980.779491154;9.312521851197761;50.51536720322997
Grenzau;404417.22173003736;5589800.017124268;7.653594351193621;50.45241245081414
Grevenmacher;314984.6529956377;5506320.404547024;6.435197076196598;49.680984504747066
Grünberg;497397.38177005004;5604786.659677144;8.963228813964077;50.59497378300041
Gummersbach-Rospe;398522.0345872525;5650833.452511958;7.553783178801985;51.00011838553578
Göllheim_(Meteo);430080.49826393736;5494485.568809658;8.032403426502666;49.59889846123152
Hachenburg;415443.85935135203;5613033.638140762;7.803603287206445;50.663004467517396
Haiger;445398.33897619497;5621531.040734563;8.22612429417124;50.7429942374197
Haina-Kloster;497987.1297191593;5653018.2422814425;8.971296491667669;51.02871264100574
Hanfmühle;383302.5893861895;5619037.678625982;7.347109982086988;50.71142202008172
Hatzenport_(AMM);386878.14968343644;5565249.522080151;7.413995738706989;50.22858210029763
Hausen;383626.9377252054;5525709.529236931;7.380442719900485;49.8724726955398
Heidenfahrt;434834.80941987346;5539671.644313811;8.09060747488453;50.00579877450533
Heimbach-Weis;396025.48921688244;5589340.803951161;7.535552953880557;50.44685655607465
Heinerscheid;291889.88053454144;5553120.140173587;6.090266637985648;50.09384513450225
Herdorf_(FAWF);427544.2675573139;5624255.079135103;7.9725783882525;50.765533655721164
Hermeskeil;357858.45446671575;5506600.407863808;7.02901287090539;49.69513751094412
Herrntrop;437351.1295193428;5659917.37046252;8.105491372755344;51.08733399840296
Hersdorf-Weissenseifen;325166.059582344;5558168.112863217;6.552719363293637;50.14992934688507
Herxheimweyher;445407.5738255934;5444901.075703278;8.251294193814307;49.1545017727362
Hilst_(Meteo);392713.40703454905;5442275.497193129;7.529509255041219;49.12394576696654
Hochspeyer;420866.9963082762;5476102.8621452525;7.908608698336443;49.432443719073966
Holzbach;333250.1329450987;5494257.518392018;6.693303958723376;49.57790095147596
Homberg;391644.7418405365;5500561.343331038;7.498982007994005;49.647862017414084
Homburg;377450.1132464182;5462095.070962288;7.3143464545757855;49.2992980959597
Homburg-Bröl;396211.79376157833;5641240.486640026;7.523606009959165;50.913469599979315
Hornbach_N;387628.90761386754;5450033.987821406;7.457680738095766;49.19280248774975
Hortenkopf;414526.0805959718;5458484.595913953;7.824955049807755;49.27314144097586
Hosingen;292204.8755653751;5541752.860525019;6.100826182405458;49.99184948997505
Hänscheid;389171.14284769114;5632735.904263737;7.426069164965007;50.835710304481246
Härtlingen;423405.19222719443;5598733.261984014;7.919175987680316;50.53552422858911
Höheinöd;397819.93455004913;5460145.4221404325;7.594931107619845;49.28551290811131
Höhr-Grenzhausen;405151.9588613634;5588177.764101069;7.664351737049585;50.43794617641518
Hüttgeswasen;365070.50304468896;5510455.414333595;7.127627716102033;49.731451183426145
Isert;408273.4481665036;5620777.855102385;7.700251608169157;50.7315446018086
Kaltenborn-Hochacht;357028.37722561683;5584819.917413445;6.988325271958918;50.39801815702135
Kell_am_See;341996.79632801353;5500141.656467279;6.811836582648367;49.633135745033506
Kettenheim;436305.381789355;5508151.3499493925;8.116313399940955;49.72248984771476
Kirchberg;384223.8929984238;5532639.698299716;7.386669903633074;49.9348950728448
Kirchhain-Kläranlage;494038.57408068393;5629307.285618019;8.91537783706828;50.815461835558246
Kirchheimbolanden_(Meteo);429260.9122108958;5502840.901672797;8.019555624537428;49.673945156681235
Kirchweiler;339604.38873445604;5566615.400154577;6.7510869462246434;50.22992520759484
Kirf-Beuren;315799.7676757889;5492846.096219382;6.452808296294123;49.5601576659443
Kirrberg_(Meteo);382406.41147404944;5461946.184348666;7.382534203151914;49.2989335280568
Kleinich;369890.3966375061;5528408.066369583;7.1884598440856;49.893904516137205
Kleinniedesheim_(AMM);452388.0115658189;5492947.272760813;8.341270723699033;49.587231686875846
Koblenz-EVM_(Meteo);398992.08313103614;5581176.844473278;7.579519198395757;50.373975538319606
Kreuztal-Kläranlage;428932.289093797;5645581.985122837;7.988114978457109;50.95746231989251
Kusel-Kläranlage;386324.33804085664;5489148.913317203;7.428609636283276;49.54427080588166
Körperich-Gaytalpark;302774.0385327557;5534958.944373092;6.251583167005561;49.934404058340704
Kürten-Sülzüberleitung;381344.18516852095;5658247.4066961715;7.306650984011573;51.063472899896425
Laacher_See;376664.246911754;5584820.471342262;7.264465091785436;50.402471868779756
Landau/Pfalz_(Meteo);435623.6075269766;5450503.711993492;8.116230952715007;49.20394546532854
Langgöns-Espa;471127.01471391687;5585854.466572198;8.593536808927805;50.42400751191891
Lascheid;390919.50693033607;5623560.857883137;7.453613378387225;50.75356310749775
Lautertal_(Vogelsberg);518398.75295485364;5608095.076130367;9.260110049067587;50.6244421976904
Lehmbach;373322.94767487986;5644045.559120344;7.1971928818054325;50.934112274240384
Leimersdorf-Nierendorf;368661.55352504674;5605173.561378447;7.144761266515476;50.583683373893415
Leisel_(FAWF);369776.3730946259;5511265.759478024;7.192623996534536;49.73977302478846
Liebenscheid;435548.9891128363;5616018.523117817;8.087508845503386;50.69241696272537
Lindlar-Hohbusch;382964.3494341667;5649218.978209008;7.332676262995415;50.98265214359711
Lingerhahn;397450.08376841975;5550372.165816018;7.5661733809678395;50.096748433346036
Lollar-Kläranlage;478315.24826840777;5609735.45910718;8.693339256485546;50.63908110373839
Lorsch-Kläranlage;468957.0620738028;5501777.948790443;8.569802112233923;49.66773574952879
Losheim_am_See_(Meteo);335880.5382634133;5487245.809124966;6.732580726201076;49.51560105578118
Lustadt;448050.3871324401;5454571.050697796;8.286285465616935;49.24170871979012
Lützel;442872.35736712534;5646468.843000643;8.186434901521181;50.96698745404653
Mainz_(AMM);445199.13155353017;5536127.133879104;8.2357339773686;49.97496537531221
Mannheim_(Meteo);464916.60468119127;5480561.323658778;8.515702624727059;49.47668342721873
Marburg-Lahnberge;486451.181485055;5627757.665515774;8.807732828217494;50.80139867591268
Marienfeld;389952.536468287;5638176.6040603025;7.435525553041856;50.8847678552949
Martinshöhe;390618.02692221035;5468571.660899467;7.493623053937973;49.36003524948407
Mayen_(AMM);374028.93813471566;5576243.4267086135;7.230270994293792;50.32481222216881
Mayschoß_(AMM);359612.0985860388;5598144.5426306175;7.0196601264530925;50.518402373852624
Meddersheim;400071.32226448006;5515186.106912864;7.611932090263553;49.78082012723989
Meisburg;333618.439696749;5552324.069344668;6.673475869997315;50.0998442255291
Merzalben;412867.92216032045;5458743.499755937;7.802108460835951;49.275235775286426
Merzkirchen;316720.2849647035;5494220.495191728;6.464884565934418;49.572787265329616
Morlautern;410322.465662215;5480629.82262361;7.762188757412062;49.471690080747024
Mülheim-Kärlich;395668.2062832365;5582327.415313001;7.532472151193759;50.38373961022336
Münstermaifeld_(AMM);382494.3048741309;5568059.32159294;7.351688240755963;50.252987108490245
Nassau-Kläranlage;412934.1877689986;5574787.3023459865;7.777013162946049;50.318753207189374
Neef;366897.4898316646;5550185.696719539;7.139271115714518;50.08901267464942
Nentershausen;424608.01909015764;5586399.4891928;7.9386326996745415;50.42477821839092
Nespen;410165.14500324073;5644462.229678169;7.721242387374439;50.94477508329629
Neuhäusel_(FAWF);409717.4529356394;5586442.805015576;7.729043407822658;50.42306695665952
Neunkirchen_(Meteo);370282.7420659607;5478900.0907628145;7.2103305965283475;49.44890641056248
Neunkirchen/Heller;430217.6056184196;5628090.492065025;8.009751944641454;50.800347482554116
Neustadt/Weinstr_(AMM);440762.15630897647;5468603.032665499;8.184084087614758;49.367253630458144
Neuwied-Torney;393252.1294840895;5590449.278884016;7.49618928341135;50.456323994891704
Niederdielfen_Klg;435216.36428702215;5634998.985606585;8.079455666327856;50.86304638488357
Niederlosheim;339655.8035813384;5485581.314296295;6.7853727882100845;49.50165053293728
Nohfelden_(SL);365533.59070118045;5494871.567984308;7.139401908033328;49.59145886881524
Nonnweiler;353832.48574870965;5497666.876997625;6.976557003698096;49.61387105578192
Obermoschel_(Meteo);412051.4235423227;5509765.290517178;7.779524320782006;49.73394777791021
Oberzerf;331889.66109094245;5495874.911291727;6.673809073126212;49.5920604393842
Olmscheid;299170.4280602091;5549506.41581871;6.1938262727514335;50.06388794345389
Oppenheim_(AMM);452980.7160854987;5521754.708769625;8.346000016719215;49.8463696014149
Ormont_(Meteo);319264.8510509084;5578645.698839532;6.4604371115159775;50.33214863302086
Orscholz_(Meteo);321410.0082923686;5487697.534169403;6.532643702189783;49.51557148483249
Ottweiler;367523.42520117376;5472567.635190733;7.174395134094206;49.39137998475995
Overrath;378787.4985798026;5643152.874212863;7.275220088235483;50.92726280130897
Peterslahr-Kläranlage;392243.1411837756;5608757.804155301;7.47668700612791;50.62073395988541
Polch;379709.87585852394;5573914.2758637965;7.310785307760139;50.30506105941961
Potaschberg;311985.4136255202;5506125.000559728;6.393758594471648;49.67830088187163
Pulheim_Geyen;345068.6321843591;5650508.879326801;6.792629140156804;50.98529378795448
Quierschied-Wetterstation;357130.240838555;5464300.179551111;7.03422160386577;49.31470798903956
Rengsdorf_(Meteo);392375.3475766054;5595190.694128646;7.4824777475210835;50.49878982595993
Reuler;287914.13076242583;5549883.748610283;6.036550966003567;50.06337059295857
Rheinbach-Todenfeld;354732.1187231607;5605117.136945906;6.948149180841229;50.579877261603514
Riol;340745.55195530475;5517753.359216536;6.787338985490647;49.791097696268416
Rommersheim;435577.6012052403;5519308.307684769;8.104370346245464;49.82275036923619
Rosbach;401538.4778438239;5629612.395079068;7.602482594215913;50.809866102417956
Rote_Furth;382230.370813156;5659590.965589651;7.31885440492312;51.07573199038357
Ründeroth;390545.27516127186;5649547.598193013;7.440533058971151;50.98709742718069
Saarhölzbach;325690.1874841145;5486491.148500475;6.592254459260774;49.50597538521781
Sankt-Vith;295244.93231726723;5574546.125290598;6.125573795206632;50.287469033812215
Schaidt;433147.7259541768;5431432.997420776;8.085405649236426;49.03215305777233
Schallodenbach;407241.81639649475;5488492.911284932;7.717830971551699;49.541936676726635
Scheibenhard;437427.23223614134;5423844.722546248;8.1451147009442;48.96434858251024
Schifferstadt;452793.6075762853;5472407.775243434;8.349335579680833;49.402525923691144
Schleiden-Schoeneseiffen_(Meteo);314055.47854518093;5599229.772097872;6.377117559089674;50.51545501706303
Schwarzerden;376990.20589813567;5488346.562313346;7.299887615210204;49.53523329764806
Seesbach;395949.3659643181;5522346.697691627;7.552775538331547;49.84450452095165
Selters-Kläranlage;410413.11086085305;5597713.400121582;7.736134715484466;50.524508896077094
Siebeldingen_(AMM);430598.8781892485;5451841.258443941;8.047029130723113;49.21542705401071
Singhofen;415816.79264941043;5569595.561104711;7.818651653587696;50.27248954576824
Sinzig;376331.1867066708;5601974.58306244;7.254107786762738;50.55660261067855
Sitzerath;349918.11696818564;5495861.920310105;6.923095840355924;49.59668718464782
Speicher;329170.2679290619;5533710.030430408;6.619615789434089;49.931311606665155
Speyer_(AMM);458007.78215189296;5467655.13922693;8.421702388144457;49.36016013465793
Speyer_(Meteo);461962.1042877489;5460818.824691891;8.476809030135536;49.298928962189365
Sprendlingen;426791.54187172116;5523269.8999031745;7.9814935041601185;49.857368378415266
Steffeshausen;297171.6951409305;5564436.269739842;6.157996169301204;50.1973217791488
Steinberg-Deckenhardt;362997.45069812215;5488982.501451356;7.106379027755626;49.537948005673215
Steinborn;329772.6790150999;5548964.101405526;6.621244496332757;50.068561426450714
Strickscheid;307989.16307064355;5557894.454624044;6.312687303934258;50.142158329562484
Strohn;351401.48265745875;5553521.300016109;6.921487737736853;50.11532010438903
Stromberg_(Meteo);412618.659093298;5531798.029989899;7.782429376800757;49.93215519223137
Suelze;378823.8986985017;5653827.828993171;7.272179839270002;51.023221790201895
Thailen;343303.95364029286;5488738.072609892;6.834468618054842;49.5309779826787
Trier-Irsch;333848.078074989;5511031.478589552;6.694454472146647;49.7288185196715
Trintange;303358.73941646377;5494885.71080026;6.279947961036789;49.57457019866358
Uckendorf;364192.33047860616;5632047.882700409;7.071783450659451;50.82420444489365
Ulmen;356184.03773276496;5562290.359805937;6.985027796908423;50.195316487295784
Ulrichstein-Selgenhof;514660.35310139146;5602437.803340816;9.207035990560328;50.57367198235728
Usingen;466679.53763087076;5576828.872972451;8.531728877384381;50.34260339127515
Vianden;299434.47225470317;5535617.375056898;6.204760730623781;49.93920747539934
Volmunster;381872.34505013004;5442534.996766004;7.380902937129475;49.124291369490926
Vormwald;438918.53708648717;5649488.37078825;8.129627060442884;50.99373179768582
Waldbillig;304068.6243311489;5519734.8520130245;6.277306398636853;49.798055668143746
Waldbronn_(Meteo);462088.0628403497;5420059.908152205;8.482370536336711;48.93230768181941
Waldmohr;380703.93450988445;5471541.04554016;7.356255375530299;49.384874515076504
Waltenheim;397772.8162000414;5399856.798348665;7.609469586836066;48.7433346958663
Wascheid_(FAWF);313094.9808990131;5571427.412729487;6.377407866449489;50.26537368650522
Weibern;368163.7085636671;5585834.0952817835;7.144557342842288;50.409737559736975
Weierhof;429810.4472493267;5498319.077940351;8.027981317326942;49.63334328250878
Weilburg-Kläranlage;447406.56516635517;5591502.377101103;8.25883909607763;50.47315137927248
Weiten;320868.89630831796;5489186.2322355;6.524499462895432;49.5287899087341
Wettenberg;473387.07297012734;5613184.19372072;8.623399691101381;50.66989078812376
Wiehl;396858.8970342083;5645612.987254245;7.531570343671427;50.952892862541454
Wiehltalsperre;406222.1812872845;5643514.283151454;7.665376099417411;50.93562495555714
Wiersdorf;317623.09117495775;5542131.52472384;6.454887312365753;50.003568380614446
Wiesweiler_(AMM);397106.5391417772;5499401.87641346;7.574921954372874;49.63839228901512
Winnweiler_(Meteo);416780.13730746775;5490966.324678449;7.849124171459137;49.56556557256859
Wittlich_(AMM);346129.6163550619;5538115.148378444;6.853987185149467;49.97551206274761
Wolfersheim;371925.47888084187;5449013.084228255;7.2425726563995685;49.18054481638891
Worms_(Meteo);450866.7383935562;5498154.385126802;8.319573271754455;49.63394290390086
Wöllstein;424868.6153078682;5517637.643590562;7.955836739284613;49.80648041878018
Wörth/Pfalz_(Meteo);448793.66228696;5434370.116520759;8.299064405035708;49.060069934934084
Zweibrücken-Kläranlage;379202.9377213652;5456856.111655681;7.340027523141942;49.25254161830418
